question,answer
"What is the purpose of the Finance Management SOP?","The purpose of this SOP is to define the framework for transparent, accountable, and compliant financial management of the Association in accordance with the Tamil Nadu Apartment Ownership Act (2022) and TAAOWA Bye-laws. It governs the collection, custody, utilization, and reporting of all Association funds."
"Who does this SOP apply to?","This SOP applies to the Treasurer, Secretary, and President (joint signatories), the Accountant or Office Administrator, the Board of Managers, the Auditor, and the Finance Sub-Committee."
"What are the sources of funds for the Association?","The funds consist of membership and annual maintenance fees, corpus fund and interest accrued, clubhouse or facility usage charges, donations, fines, and other approved income sources. All funds are held in the name of the Association."
"What is the accounting structure of the Association?","The financial year runs from April 1 to March 31. Books of accounts are maintained both physically and digitally. The Association’s bank account is operated jointly by the President and Treasurer. Payments above ₹10,000 are made digitally or via cheque, and petty cash up to ₹5,000 is maintained for daily operations."
"How is the annual budget prepared and approved?","The Treasurer prepares the Annual Budget, which is reviewed by the Board of Managers and approved by the General Body during the AGM. Quarterly financial reviews are presented to the Board."
"What are the expense approval limits?","Expenses up to ₹5,000 can be approved by the Secretary, up to ₹10,000 with President’s written approval, above ₹10,000 by the Board, and above ₹10 lakh require General Body approval."
"How are maintenance charges collected?","Charges are assessed based on the Undivided Interest (UDI) formula. Members can pay monthly, quarterly, half-yearly, or annually. Preferred payment modes are online transfers or digital gateways. Receipts are issued for every payment. Defaulter lists are published quarterly."
"What happens if I do not pay my maintenance on time?","A 7-day final notice will be sent for overdue payments. Persistent defaulters lose voting and amenity access rights, and legal recovery actions may be initiated if dues exceed 90 days."
"How are Association funds utilized?","Funds are used only for objectives such as maintenance, utilities, safety, and welfare. No funds are distributed as profits or dividends. All expenses require valid invoices, approvals, and proper recording."
"What are the policies on investments and reserves?","Corpus Fund is invested in term deposits, Sinking Fund is for long-term repairs, and Reserve Funds are maintained for repainting and emergencies. Withdrawals above ₹10 lakh require General Body consent."
"How are audits and compliance handled?","An annual audit is conducted by a Chartered Accountant, completed by June 30, and presented in the AGM. Filings include Balance Sheet, Income & Expenditure Statement, and Member Declarations by September 30."
"What financial reports are prepared and how often?","Reports include Income & Expenditure (quarterly), Budget vs Actual (half-yearly), Annual Budget Proposal (annually), Audit Report (annually), Bank Reconciliation (monthly), and Defaulter Reports (monthly/quarterly)."
"How long are financial records retained?","All invoices, receipts, ledgers, vouchers, and bank statements are retained for a minimum of 5 years in both physical and digital forms."
"Can residents view Association financial reports?","Yes. Members may request copies of accounts and audit reports by paying a nominal fee. Approved financial summaries are uploaded to MyGate within 15 days."
"What internal controls are in place for finances?","There is dual authorization for payments, numbered receipts, surprise audits, password-protected systems, and annual internal control reviews."
"What are the financial Do’s and Don’ts?","Do’s include ensuring approvals, recording all receipts, maintaining transparency, and using digital payments. Don’ts include using funds for personal use, issuing unofficial receipts, or splitting invoices to bypass approval."
"What are the penalties for financial misconduct?","Any misuse or concealment of funds results in disciplinary action such as removal from office, financial recovery, or legal prosecution."
"What is the purpose of the Community Hall SOP?","This SOP defines the rules, procedures, and responsibilities for booking, using, and maintaining the Community Hall at The ACE Apartments. It ensures fair access, responsible use, and cleanliness for all residents."
"Who does the SOP apply to?","It applies to all residents and owners requesting hall usage, the UPS Facility Management Team, Security, Housekeeping, and the Association Office responsible for managing bookings, payments, and dispute resolution."
"What events are allowed in the Community Hall?","The hall may be used only for personal and social events such as birthdays, anniversaries, family gatherings, and community meetings."
"What events are prohibited in the Community Hall?","The following are not allowed: commercial or promotional programs, political or religious meetings, events by non-residents, or any activity causing noise, damage, or nuisance."
"How do I book the Community Hall?","Bookings can be made via the Association Office or through the MyGate Facility Booking Module (if available). Bookings must be made at least 3 days in advance and are confirmed only after full payment is received."
"What are the rental charges and time slots for hall usage?","Each slot costs ₹5,000, which includes ₹4,000 as hall rent and ₹1,000 as a cleaning fee. Slot 1: 8 AM – 2 PM; Slot 2: 4 PM – 10 PM. Extra hours cost ₹1,000 per hour (with approval)."
"How can I pay for my hall booking?","Full payment must be made at the time of booking via cash, UPI, or bank transfer to the Association’s account. Booking is confirmed only after payment."
"What are the key rules to follow when using the hall?","Residents must: use it for social purposes only, follow noise limits (no loud music after 10 PM), avoid cooking inside, ensure decorations don’t damage walls, prohibit alcohol/smoking, and ensure guest discipline."
"Is alcohol allowed in the Community Hall?","No. Alcohol consumption is strictly prohibited inside the Community Hall premises."
"Can I decorate the hall for my event?","Yes, but only with non-damaging temporary decorations. Nails, screws, tapes, or adhesives on walls or ceilings are not allowed."
"Who is responsible for cleaning after the event?","The housekeeping team handles post-event cleaning, funded by the ₹1,000 cleaning fee. Organizers must ensure waste is bagged, and the hall and washrooms are left clean."
"What are the rules regarding security and guest access?","Security opens the hall 15 minutes before the slot and closes it immediately after. Guest entry is logged, and any violation (noise, damage) is reported to the Facility Manager."
"Who bears the cost of any damage during the event?","The resident organizing the event is liable for all damages. The Facility Manager assesses repair costs, and future bookings may be denied until payment is made."
"What is the cancellation and refund policy?","• More than 48 hours before event – 100% refund
 • 24–48 hours before event – 50% refund
 • Less than 24 hours – No refund
 If canceled by the Association, 100% refund will be provided."
"What are the important Do’s for residents?","Book in advance, maintain discipline, inform security of guest count, use sound responsibly, and keep the hall clean after use."
"What are the Don’ts to remember when using the hall?","Do not conduct commercial or promotional events, play loud music beyond 10 PM, cook inside, consume alcohol, smoke, burst crackers, or use adhesives on walls."
"Who should I contact for issues related to booking, payments, or cleaning?","• Booking/Payment issues – Contact Facility Manager (escalate to Secretary if unresolved)
 • Damage/Cleaning complaint – Facility Manager (escalate to President)
 • Noise/Disturbance – Security Supervisor (escalate to Facility Manager/Secretary)"
"How are booking and event records maintained?","Records include booking details, payment receipts, inspection checklists, and any damage or penalty records. All records are maintained for at least 1 year."
"Who is accountable for managing and monitoring Community Hall operations?","Facility Manager handles booking and supervision; Security oversees access; Housekeeping ensures cleaning; Resident Organizer ensures compliance; Secretary manages refunds; and the Board handles final decisions."
"What is the purpose of the Domestic Helpers SOP?","This SOP defines the process for safe, transparent, and efficient entry, exit, and monitoring of all domestic helpers, drivers, caretakers, and related staff. It ensures community safety, discipline, and harmony."
"Who does this SOP apply to?","It applies to all domestic workers employed by residents, the security team, UPS Facility Management staff, and Association Office responsible for managing access."
"What are the key objectives of this policy?","To ensure verified entry of domestic staff, maintain updated records, prevent unauthorized entry or loitering, and define behavioral expectations within the community."
"Who are responsible for managing the domestic helper system?","• Security Team – Verify ID and log entries/exits.
 • Facility Manager – Maintain helper database and documents.
 • Residents – Register helpers and ensure compliance.
 • Secretary/President – Review and take action on complaints."
"What documents are required for registering a domestic helper?","• Aadhaar or Voter ID proof
 • Recent photograph
 • Address proof
 • Police verification (mandatory for long-term staff)
 • Employer details (flat number, contact)
 • Emergency contact number."
